<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240312;095948;588.6;1;9812959319;S
20240312;095948;588.6;9;9812959320;B
20240312;095948;588.6;25;9812959321;B
20240312;095948;588.6;7;9812959322;S
20240312;095948;588.6;2;9812959323;S
20240312;095948;588.6;1;9812959324;S
20240312;095948;588.6;1;9812959325;S
20240312;095948;588.6;13;9812959326;S
20240312;095948;588.6;3;9812959327;S
20240312;095948;588.6;1;9812959328;S
20240312;095948;588.6;2;9812959329;S
20240312;095948;588.6;2;9812959330;S
20240312;095948;588.6;3;9812959331;S
20240312;095948;588.6;2;9812959332;S
20240312;095948;588.6;3;9812959333;S
20240312;095948;588.6;6;9812959334;S
20240312;095948;588.6;2;9812959335;B
20240312;095948;588.6;2;9812959336;S
20240312;095948;588.6;4;9812959337;S
20240312;095948;588.6;1;9812959338;B
20240312;095948;588.6;80;9812959339;S
20240312;095948;588.6;8;9812959340;S
20240312;095948;588.6;150;9812959341;S
20240312;095948;588.6;10;9812959342;S
20240312;095948;588.6;10;9812959343;S
20240312;095948;588.6;2;9812959344;S
20240312;095948;588.6;3;9812959345;B
20240312;095948;588.6;5;9812959346;B
20240312;095948;588.6;19;9812959347;B
20240312;095948;588.6;1;9812959348;B
20240312;095948;588.6;1;9812959349;B
20240312;095948;588.6;161;9812959350;B
20240312;095948;588.6;2;9812959351;B
20240312;095948;588.6;2;9812959352;S
20240312;095948;588.6;2;9812959353;S
20240312;095948;588.6;2;9812959354;B
20240312;095948;588.6;30;9812959355;B
20240312;095948;588.6;10;9812959356;B
20240312;095948;588.6;9;9812959357;B
20240312;095948;588.6;6;9812959358;B
20240312;095948;588.6;2;9812959359;B
20240312;095948;588.6;17;9812959360;B
20240312;095948;588.6;21;9812959361;B
20240312;095948;588.6;1;9812959362;B
20240312;095948;588.6;1;9812959363;B
20240312;095948;588.6;1;9812959364;B
20240312;095948;588.6;2;9812959365;B
20240312;095948;588.6;2;9812959366;B
20240312;095948;588.6;2;9812959367;B
20240312;095948;588.6;1;9812959368;B
20240312;095948;588.6;1;9812959369;B
20240312;095948;588.6;2;9812959370;B
20240312;095948;588.6;1;9812959371;B
20240312;095948;588.6;1;9812959372;B
20240312;095948;588.6;1;9812959373;B
20240312;095948;588.6;2;9812959374;B
20240312;095948;588.6;2;9812959375;B
20240312;095948;588.6;1;9812959376;B
20240312;095948;588.6;3;9812959377;B
20240312;095948;588.6;1;9812959378;B
20240312;095948;588.6;1;9812959379;B
20240312;095948;588.6;2;9812959380;B
20240312;095948;588.6;8;9812959381;B
20240312;095948;588.6;5;9812959382;B
20240312;095948;588.6;10;9812959383;B
20240312;095948;588.6;10;9812959384;B
20240312;095948;588.6;2;9812959385;B
20240312;095948;588.6;2;9812959386;B
20240312;095948;588.6;4;9812959387;B
20240312;095948;588.6;5;9812959388;B
20240312;095948;588.6;1;9812959389;B
20240312;095948;588.6;1;9812959390;B
20240312;095948;588.6;5;9812959391;B
20240312;095948;588.6;2;9812959392;B
20240312;095948;588.6;2;9812959393;B
20240312;095948;588.6;2;9812959394;B
20240312;095948;588.6;1;9812959395;B
20240312;095948;588.6;4;9812959396;B
20240312;095948;588.6;14;9812959397;B
20240312;095948;588.6;1;9812959398;B
20240312;095948;588.6;1;9812959399;B
20240312;095948;588.6;2;9812959400;B
20240312;095948;588.6;4;9812959401;B
20240312;095948;588.6;1;9812959402;B
20240312;095948;588.6;1;9812959403;B
20240312;095948;588.6;14;9812959404;B
20240312;095948;588.6;8;9812959405;B
20240312;095948;588.6;1;9812959406;B
20240312;095948;588.6;2;9812959407;B
20240312;095948;588.6;8;9812959408;B
20240312;095948;588.6;85;9812959409;B
20240312;095948;588.6;1;9812959410;B
20240312;095948;588.6;1;9812959411;B
20240312;095948;588.6;9;9812959412;B
20240312;095948;588.6;1;9812959413;B
20240312;095948;588.6;2;9812959414;B
20240312;095948;588.6;5;9812959415;B
20240312;095948;588.6;13;9812959416;B
20240312;095948;588.6;5;9812959417;B
20240312;095948;588.6;1;9812959418;B
20240312;095948;588.6;1;9812959419;B
20240312;095948;588.6;5;9812959420;B
20240312;095948;588.6;1;9812959421;B
20240312;095948;588.6;1;9812959422;B
20240312;095948;588.6;3;9812959423;B
20240312;095948;588.6;13;9812959424;B
20240312;095948;588.6;2;9812959425;B
20240312;095948;588.6;1;9812959426;B
20240312;095948;588.6;1;9812959427;B
20240312;095948;588.6;6;9812959428;B
20240312;095948;588.6;1;9812959429;S
20240312;095948;588.6;1;9812959430;S
20240312;095948;588.6;2;9812959431;S
20240312;095948;588.6;3;9812959432;S
20240312;095948;588.6;5;9812959433;S
20240312;095948;588.6;1;9812959434;S
20240312;095948;588.6;1;9812959435;S
20240312;095948;588.6;1;9812959436;S
20240312;095948;588.6;1;9812959437;S
20240312;095948;588.6;2;9812959438;S
20240312;095948;588.6;3;9812959439;S
20240312;095948;588.6;22;9812959440;S
20240312;095948;588.6;5;9812959441;S
20240312;095948;588.6;1;9812959442;S
20240312;095948;588.6;3;9812959443;S
20240312;095948;588.6;3;9812959444;S
20240312;095948;588.6;1;9812959445;S
20240312;095948;588.6;1;9812959446;S
20240312;095948;588.6;3;9812959447;S
20240312;095948;588.6;4;9812959448;S
20240312;095948;588.6;3;9812959449;S
20240312;095948;588.6;3;9812959450;S
20240312;095948;588.6;3;9812959451;S
20240312;095948;588.6;3;9812959452;S
20240312;095948;588.6;2;9812959453;S
20240312;095948;588.6;1;9812959454;S
